n,seed,backend,warm_start,n_steps,tol,wall_mean,wall_total,wall_first,wall_steady,nmv_mean,lam_first,lam_last
5000,1,cupy_lanczos,1,10,1e-06,0.01926469998434186,0.1926469998434186,0.0506349999923259,0.015779111094565854,52.2,-1.540639583447433,-1.8070212474080447
5000,1,cupy_lobpcg,0,10,1e-06,0.2608797900029458,2.608797900029458,0.3861218999954872,0.24696400000377455,53.8,-1.540639583440939,-1.8070212474073524
5000,1,cupy_lobpcg,1,10,1e-06,0.1881226599973161,1.8812265999731608,0.38371369999367744,0.1663903222199426,36.0,-1.540639583440939,-1.8070212474071747
5000,2,scipy_arpack,0,10,1e-06,0.009063380007864908,0.09063380007864907,0.009748200012836605,0.008987288896201385,97.0,-1.525863354803487,-1.6242931323579686
5000,2,scipy_arpack,1,10,1e-06,0.006900469987886027,0.06900469987886027,0.009650599968153983,0.006594899990078475,74.0,-1.5258633548056062,-1.6242931323551042
5000,2,scipy_lobpcg,0,10,1e-06,0.039775949990144,0.39775949990144,0.03219719999469817,0.040618033322971314,138.0,-1.5258633547956217,-1.624293132347936
5000,2,scipy_lobpcg,1,10,1e-06,0.041794070007745175,0.41794070007745177,0.04616120003629476,0.04130883333790633,132.6,-1.5258633547956217,-1.6242931323540604
5000,2,cupy_lanczos,0,10,1e-06,0.05819818999734707,0.5819818999734707,0.05953089997638017,0.05805011111078784,129.0,-1.525863354807546,-1.6242931323552787
5000,2,cupy_lanczos,1,10,1e-06,0.06094253000337631,0.609425300033763,0.04995549999875948,0.0621633111150004,113.0,-1.525863354806837,-1.6242931323591072
5000,2,cupy_lobpcg,0,10,1e-06,1.029139730008319,10.29139730008319,0.44729260000167415,1.0937894111201685,185.8,-1.5258633548010962,-1.6242931323198944
5000,2,cupy_lobpcg,1,10,1e-06,0.8002200399932917,8.002200399932917,0.5035800999612547,0.8331800333301848,129.5,-1.5258633548010962,-1.6242931323540593
10000,0,scipy_arpack,0,10,1e-06,0.018624629999976605,0.18624629999976605,0.022192200005520135,0.01822823333269399,89.0,-1.535633606401546,-1.668614564884963
10000,0,scipy_arpack,1,10,1e-06,0.017761929996777327,0.17761929996777326,0.0239218000206165,0.01707749999412853,76.0,-1.5356336064021323,-1.6686145648851405
10000,0,scipy_lobpcg,0,10,1e-06,0.043824369995854796,0.43824369995854795,0.037627600017003715,0.04451289999350491,115.9,-1.5356336064062401,-1.668614564878562
10000,0,scipy_lobpcg,1,10,1e-06,0.047640489996410906,0.47640489996410906,0.03594550001434982,0.048939933327751026,109.8,-1.5356336064062401,-1.6686145648821848
10000,0,cupy_lanczos,0,10,1e-06,0.0555405399936717,0.555405399936717,0.06490200001280755,0.054500377769323274,122.6,-1.5356336064146605,-1.6686145648851587
10000,0,cupy_lanczos,1,10,1e-06,0.03832416000077501,0.3832416000077501,0.05511590000241995,0.03645841111170335,97.0,-1.535633606413532,-1.6686145648856934
10000,0,cupy_lobpcg,0,10,1e-06,0.7154224199883175,7.154224199883174,0.8308759999927133,0.7025942444322735,139.3,-1.5356336064019231,-1.668614564877348
10000,0,cupy_lobpcg,1,10,1e-06,0.6749219199933577,6.749219199933577,0.7348600999685004,0.6682621222183419,115.4,-1.5356336064019231,-1.6686145648821862
10000,1,scipy_arpack,0,10,1e-06,0.015045900008408353,0.15045900008408353,0.019873599987477064,0.01450948889962294,81.0,-1.5399486750242972,-1.7335942702068492
10000,1,scipy_arpack,1,10,1e-06,0.013245989999268204,0.13245989999268204,0.0196521999896504,0.012534188889225738,69.0,-1.5399486750170943,-1.733594270209991
10000,1,scipy_lobpcg,0,10,1e-06,0.0795946899917908,0.795946899917908,0.054833300004247576,0.08234595554596227,193.0,-1.539948675013918,-1.7335942702033391
10000,1,scipy_lobpcg,1,10,1e-06,0.03400762999081053,0.3400762999081053,0.046450399968307465,0.03262509999331087,86.4,-1.539948675013918,-1.733594270207025
10000,1,cupy_lanczos,0,10,1e-06,0.049061470007291066,0.49061470007291064,0.05049499997403473,0.048902188899875104,109.8,-1.5399486750249696,-1.7335942702103149
10000,1,cupy_lanczos,1,10,1e-06,0.034772040002280846,0.34772040002280846,0.05043489998206496,0.03303172222674928,84.2,-1.5399486750226035,-1.7335942702103138
10000,1,cupy_lobpcg,0,10,1e-06,0.60295419000322,6.0295419000322,1.1522117999847978,0.5419255666719336,117.0,-1.5399486750045575,-1.733594270207108
10000,1,cupy_lobpcg,1,10,1e-06,0.47518174000433644,4.751817400043365,1.1659800999914296,0.39842636667243725,96.8,-1.5399486750045575,-1.7335942702069702
10000,2,scipy_arpack,0,10,1e-06,0.015192119998391717,0.15192119998391718,0.015989900042768568,0.015103477771238735,76.0,-1.550904949831434,-1.6858225374170306
10000,2,scipy_arpack,1,10,1e-06,0.01190299999434501,0.1190299999434501,0.013381300028413534,0.011738744435004063,66.0,-1.5509049498357792,-1.6858225374177995
10000,2,scipy_lobpcg,0,10,1e-06,0.04295220001367852,0.4295220001367852,0.03931940003531054,0.04335584445571941,111.4,-1.5509049498274445,-1.6858225374121596
10000,2,scipy_lobpcg,1,10,1e-06,0.029679839999880643,0.2967983999988064,0.04274750000331551,0.02822787777727677,77.6,-1.5509049498274445,-1.6858225374157707
10000,2,cupy_lanczos,0,10,1e-06,0.04109865000355058,0.41098650003550574,0.04553829994983971,0.040605355565074004,106.6,-1.5509049498359466,-1.6858225374180298
10000,2,cupy_lanczos,1,10,1e-06,0.03459787000319921,0.34597870003199205,0.0491836000001058,0.03297723333687625,87.4,-1.5509049498359468,-1.68582253741804
10000,2,cupy_lobpcg,0,10,1e-06,0.5670426099968608,5.6704260999686085,0.6288373999996111,0.5601765222187775,114.7,-1.55090494982646,-1.6858225374142046
10000,2,cupy_lobpcg,1,10,1e-06,0.40407836000085806,4.040783600008581,0.681660300004296,0.3732359222226983,80.3,-1.55090494982646,-1.6858225374157716
